c |  Solving Time         :      7.669ms
c |  Solving Time         :      7.687ms
c |  Solving Time         :      7.733ms
c |  Solving Time         :      7.864ms
c |  Solving Time         :      7.869ms
c |  Solving Time         :      7.888ms
c |  Solving Time         :      7.921ms
c |  Solving Time         :      7.939ms
c |  Solving Time         :      7.988ms
c |  Solving Time         :      8.105ms
c |  Solving Time         :      8.174ms
c |  Solving Time         :      8.235ms
c |  Solving Time         :      8.408ms
c |  Solving Time         :      8.458ms
c |  Solving Time         :      8.533ms
c |  Solving Time         :      8.559ms
c |  Solving Time         :      8.615ms
c |  Solving Time         :      8.822ms
c |  Solving Time         :      8.837ms
c |  Solving Time         :      8.849ms
c |  Solving Time         :      8.937ms
c |  Solving Time         :      9.099ms
c |  Solving Time         :      9.229ms
c |  Solving Time         :      9.505ms
c |  Solving Time         :      9.524ms
c |  Solving Time         :      9.675ms
c |  Solving Time         :      9.678ms
c |  Solving Time         :      9.725ms
c |  Solving Time         :      9.761ms
c |  Solving Time         :      9.804ms
c |  Solving Time         :     10.031ms
c |  Solving Time         :     10.180ms
c |  Solving Time         :     10.206ms
c |  Solving Time         :     10.390ms
c |  Solving Time         :     10.512ms
c |  Solving Time         :     10.524ms
c |  Solving Time         :     10.709ms
c |  Solving Time         :     10.858ms
c |  Solving Time         :     10.871ms
c |  Solving Time         :     11.013ms
c |  Solving Time         :     11.323ms
c |  Solving Time         :     11.467ms
c |  Solving Time         :     11.572ms
c |  Solving Time         :     11.593ms
c |  Solving Time         :     11.612ms
c |  Solving Time         :     11.933ms
c |  Solving Time         :     12.676ms
c |  Solving Time         :     12.693ms
c |  Solving Time         :     12.908ms
c |  Solving Time         :     12.974ms
c |  Solving Time         :     13.223ms
c |  Solving Time         :     13.500ms
c |  Solving Time         :     13.589ms
c |  Solving Time         :     13.665ms
c |  Solving Time         :     13.978ms
c |  Solving Time         :     14.200ms
c |  Solving Time         :     14.597ms
c |  Solving Time         :     14.706ms
c |  Solving Time         :     14.970ms
c |  Solving Time         :     15.220ms
c |  Solving Time         :     15.293ms
c |  Solving Time         :     15.295ms
c |  Solving Time         :     15.403ms
c |  Solving Time         :     15.434ms
c |  Solving Time         :     15.480ms
c |  Solving Time         :     15.491ms
c |  Solving Time         :     15.753ms
c |  Solving Time         :     15.950ms
c |  Solving Time         :     16.177ms
c |  Solving Time         :     16.268ms
c |  Solving Time         :     16.298ms
c |  Solving Time         :     16.317ms
c |  Solving Time         :     16.734ms
c |  Solving Time         :     16.763ms
c |  Solving Time         :     16.811ms
c |  Solving Time         :     16.827ms
c |  Solving Time         :     16.907ms
c |  Solving Time         :     16.976ms
c |  Solving Time         :     17.296ms
c |  Solving Time         :     17.376ms
c |  Solving Time         :     17.382ms
c |  Solving Time         :     17.744ms
c |  Solving Time         :     17.782ms
c |  Solving Time         :     18.346ms
c |  Solving Time         :     18.383ms
c |  Solving Time         :     18.505ms
c |  Solving Time         :     18.973ms
c |  Solving Time         :     19.058ms
c |  Solving Time         :     19.061ms
c |  Solving Time         :     19.081ms
c |  Solving Time         :     19.130ms
c |  Solving Time         :     19.133ms
c |  Solving Time         :     19.240ms
